Feature,description
CODE_GENDER,Gender of the client
AMT_CREDIT,Credit amount of the loan
AMT_ANNUITY,Loan annuity
AMT_GOODS_PRICE,For consumer loans it is the price of the goods for which the loan is given
REGION_POPULATION_RELATIVE,Normalized population of region where client lives (higher number means the client lives in more populated region)
DAYS_BIRTH,Client's age in days at the time of application
DAYS_EMPLOYED,How many days before the application the person started current employment
DAYS_REGISTRATION,How many days before the application did client change his registration
DAYS_ID_PUBLISH,How many days before the application did client change the identity document with which he applied for the loan
OWN_CAR_AGE,Age of client's car
REGION_RATING_CLIENT,"Our rating of the region where client lives (1,2,3)"
REGION_RATING_CLIENT_W_CITY,"Our rating of the region where client lives with taking city into account (1,2,3)"
EXT_SOURCE_1,Normalized score from external data source
EXT_SOURCE_2,Normalized score from external data source
EXT_SOURCE_3,Normalized score from external data source
FLOORSMAX_AVG,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
LIVINGAREA_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
DEF_30_CNT_SOCIAL_CIRCLE,How many observation of client's social surroundings defaulted on 30 DPD (days past due) 
DAYS_LAST_PHONE_CHANGE,How many days before application did client change phone
FLAG_DOCUMENT_3,Did client provide document 3
NAME_CONTRACT_TYPE_Cashloans,Identification if loan is cash or revolving
NAME_INCOME_TYPE_Stateservant,"Clients income type (businessman, working, maternity leave,â€¦)"
NAME_INCOME_TYPE_Working,"Clients income type (businessman, working, maternity leave,â€¦)"
NAME_EDUCATION_TYPE_Highereducation,Level of highest education the client achieved
NAME_EDUCATION_TYPE_Secondarysecondaryspecial,Level of highest education the client achieved
NAME_FAMILY_STATUS_Married,Family status of the client
OCCUPATION_TYPE_Drivers,What kind of occupation does the client have
ORGANIZATION_TYPE_Selfemployed,Type of organization where client works
DAYS_EMPLOYED_PERC,Percentage How many days before the application the person started current employment
ANNUITY_INCOME_PERC,Loan annuity / Income of the client
PAYMENT_RATE,Loan annuity / Credit amount of the loan 
BURO_DAYS_CREDIT_MAX,How many days before current application did client apply for Credit Bureau credit
BURO_DAYS_CREDIT_MEAN,How many days before current application did client apply for Credit Bureau credit
BURO_DAYS_CREDIT_ENDDATE_MAX,Remaining duration of CB credit (in days) at the time of application in Home Credit
BURO_DAYS_CREDIT_ENDDATE_MEAN,Remaining duration of CB credit (in days) at the time of application in Home Credit
BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,Maximal amount overdue on the Credit Bureau credit so far (at application date of loan in our sample)
BURO_AMT_CREDIT_SUM_MAX,Current credit amount for the Credit Bureau credit
BURO_AMT_CREDIT_SUM_SUM,Current credit amount for the Credit Bureau credit
BURO_AMT_CREDIT_SUM_DEBT_MEAN,Current debt on Credit Bureau credit
BURO_AMT_CREDIT_SUM_DEBT_SUM,Current debt on Credit Bureau credit
BURO_AMT_CREDIT_SUM_LIMIT_MEAN,Current credit limit of credit card reported in Credit Bureau
BURO_CREDIT_ACTIVE_Active_MEAN,Status of the Credit Bureau (CB) reported credits
BURO_CREDIT_ACTIVE_Closed_MEAN,Status of the Credit Bureau (CB) reported credits
BURO_CREDIT_TYPE_Microloan_MEAN,"Type of Credit Bureau credit (Car, cash,...)"
